2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=29, Description='六堵SS_LINE42ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,832 INFO : update CO row:Pandas(_0=559, _1=30, Description='六堵SS_LINE4GABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,841 INFO : update CO row:Pandas(_0=559, _1=31, Description='六堵SS_LINE51ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,841 INFO : update CO row:Pandas(_0=559, _1=32, Description='六堵SS_LINE52ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=33, Description='六堵SS_LINE5GABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=34, Description='六堵SS_LINE61ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=35, Description='六堵SS_LINE62ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=36, Description='六堵SS_LINE6GABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=37, Description='六堵SS_LINE71ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=38, Description='六堵SS_LINE72ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=39, Description='六堵SS_LINE7GABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
